# Log T   Log Rho   Log P
 1.778151  -7.522879  +1.870692
 1.778151  -7.397940  +1.995630
 1.778151  -7.301030  +2.092540
 1.778151  -7.221849  +2.171722
 1.778151  -7.154902  +2.238668
 1.778151  -7.096910  +2.296660
 1.778151  -7.045757  +2.347813
 1.778151  -7.000000  +2.393570
 1.778151  -6.698970  +2.694599
 1.778151  -6.522879  +2.870690
 1.778151  -6.397940  +2.995628
 1.778151  -6.301030  +3.092537
 1.778151  -6.221849  +3.171718
 1.778151  -6.154902  +3.238664
 1.778151  -6.096910  +3.296655
 1.778151  -6.045757  +3.347807
 1.778151  -6.000000  +3.393564
 1.778151  -5.698970  +3.694587
 1.778151  -5.522879  +3.870671
 1.778151  -5.397940  +3.995602
 1.778151  -5.301030  +4.092505
 1.778151  -5.221849  +4.171679
 1.778151  -5.154902  +4.238619
 1.778151  -5.096910  +4.296603
 1.778151  -5.045757  +4.347749
 1.778151  -5.000000  +4.393499
 1.778151  -4.698970  +4.694457
 1.778151  -4.522879  +4.870477
 1.778151  -4.397940  +4.995343
 1.778151  -4.301030  +5.092181
 1.778151  -4.221849  +5.171291
 1.778151  -4.154902  +5.238166
 1.778151  -4.096910  +5.296086
 1.778151  -4.045757  +5.347166
 1.778151  -4.000000  +5.392852
 1.778151  -3.698970  +5.693162
 1.778151  -3.522879  +5.868532
 1.778151  -3.397940  +5.992748
 1.778151  -3.301030  +6.088934
 1.778151  -3.221849  +6.167390
 1.778151  -3.154902  +6.233610
 1.778151  -3.096910  +6.290875
 1.778151  -3.045757  +6.341298
 1.778151  -3.000000  +6.386325
 1.778151  -2.698970  +6.679983
 1.778151  -2.522879  +6.848574
 1.778151  -2.397940  +6.965886
 1.778151  -2.301030  +7.055041
 1.778151  -2.221849  +7.126340
 1.778151  -2.154902  +7.185278
 1.778151  -2.096910  +7.235135
 1.778151  -2.045757  +7.278028
 1.778151  -2.000000  +7.315404
 1.778151  -1.698970  +7.526598
 1.778151  -1.522879  +7.607800
 1.778151  -1.397940  +7.653254
 1.778151  -1.301030  +7.726605
 1.778151  -1.221849  +7.875727
 1.778151  -1.154902  +8.095161
 1.778151  -1.096910  +8.343730
